sources,licenses,record_count
厚生労働省 食品衛生申請等システム（オープンデータ）,"公共データ利用規約（第1.0版, PDL1.0）",709600
大阪市食品営業許可施設一覧,CC BY 4.0,65517
東京都渋谷区食品等営業許可・届出一覧,CC BY 4.0,39106
沖縄県食品営業許可・届出,CC BY 4.0,35039
京都市食品営業許可施設一覧（令和3年3月末時点）,CC BY 4.0,35018
東京都（保健医療局）食品関係営業許可台帳,CC BY 4.0,27701
神戸市食品営業許可施設一覧,CC BY 2.1 JP,26704
札幌市食品営業許可施設一覧,CC BY 4.0,24313
鹿児島県 鹿児島県食品営業許可施設一覧,Creative Commons Attribution 4.0 International,20693
三重県 食品営業許可施設,Creative Commons Attribution 4.0 International,18448
岐阜県食品営業許可施設情報,CC BY 2.0,17561
熊本県 食品営業許可施設、届出施設データ,Creative Commons Attribution 4.0 International,17083
福井県食品営業許可取得施設,CC BY 2.1 JP,16284
東京都新宿区食品等営業許可・届出一覧,CC BY 4.0,14727
福島県食品営業許可施設一覧,CC BY 2.1 JP,13351
川崎市食品営業許可施設情報,CC BY 4.0,13039
富山県食品営業許可施設一覧,CC0 1.0,12522
堺市 堺市 食品営業許可施設一覧（令和8年4月1日現在）,Creative Commons Attribution 4.0 International,10123
金沢市食品衛生関係営業許可施設一覧,CC BY,8840
川口市食品衛生営業許可施設一覧,CC BY 2.1 JP,8033
松山市食品営業許可全施設一覧,CC BY 4.0,7687
東京都台東区食品衛生営業施設一覧,CC BY 4.0,7676
東京都世田谷区食品衛生営業許可施設,CC BY 4.0,7428
高松市食品等営業許可施設一覧,CC BY 4.0,7350
長崎県 食品営業許可一覧,Creative Commons Attribution 4.0 International,6908
熊本市飲食店営業許可施設一覧,公共データ利用規約,6747
尼崎市食品営業許可施設,CC BY 4.0,6602
東大阪市 食品等営業許可一覧,Creative Commons Attribution 4.0 International,6521
長崎市 食品等営業許可・届出一覧（全許可・届出一覧）（長崎市）,Creative Commons Attribution 4.0 International,6138
長野市食品営業許可施設,CC BY 4.0,5829
東京都中野区食品等営業許可届出一覧,CC BY 4.0,5790
東京都港区食品営業許可一覧,CC BY 4.0,5721
大分市食品営業許可・届出施設一覧,CC BY 2.1 JP,5699
福山市営業許認可等施設一覧,"公共データ利用規約（第1.0版, PDL1.0）",5655
富山市食品営業許可施設,CC BY 4.0,5616
西宮市食品営業許可施設一覧,"公共データ利用規約（第1.0版, PDL1.0）",5590
青森市食品営業許可施設一覧,CC BY 4.0,5317
高崎市食品営業許可施設一覧,CC BY 4.0,5164
浜松市食品衛生台帳（新規）,CC BY 4.0,5136
相模原市食品衛生関係施設一覧（営業許可）,CC BY 4.0,4929
鹿児島市 食品営業許可全施設一覧（2021年6月1日食品衛生法改正以前）,Creative Commons Attribution 4.0 International,4885
大津市食品営業許可施設一覧,CC BY 4.0,4481
岐阜市食品等営業許可一覧,CC BY 2.0,4453
いわき市食品営業許可施設一覧,CC BY 4.0,4375
豊中市 食品等営業許可一覧（豊中市）,Creative Commons Attribution 4.0 International,4369
福井市食品営業許可施設一覧,CC BY 2.1 JP,4332
秋田市食品営業許可施設一覧,CC BY 4.0,4033
岡崎市 食品等営業許可・届出一覧,Creative Commons Attribution 4.0 International,4030
福岡市 福岡市　飲食店営業等営業許可施設一覧,CC BY 4.0,3968
下関市食品営業許可施設一覧（マップ用）,CC BY 4.0,3865
豊田市 食品営業許可施設一覧（2026年5月31日現在）,Creative Commons Attribution 4.0 International,3668
福島市食品営業許可施設一覧,CC BY 2.1 JP,3638
盛岡市食品営業許可施設一覧,CC BY 4.0,3584
徳島県食品等営業許可・届出一覧,CC BY 4.0,3397
山形市食品営業許可・届出施設一覧,CC BY 4.0,3371
吹田市食品営業許可施設一覧,CC BY 4.0,3304
枚方市食品等営業許可施設一覧,CC BY 2.1 JP,3175
一宮市食品営業許可台帳,CC BY 4.0,2813
茅ヶ崎市食品営業許可台帳,CC BY 4.0,2553
東京都中央区食品等営業許可・届出一覧,CC BY 4.0,2548
静岡市 食品衛生関係営業許可台帳,CC BY 4.0,2518
山梨県営業許可施設一覧,CC BY 2.1 JP,2317
前橋市 食品等営業許可・届出一覧,Creative Commons Attribution 4.0 International,2096
東京都品川区食品衛生許可施設,CC BY 4.0,1983
山口県食品営業許可施設情報一覧,CC BY 4.0,1873
東京都江東区食品等営業許可・届出一覧,CC BY 4.0,1756
東京都東村山市食品等営業許可・届出一覧,CC BY 4.0,1554
奈良市食品営業許可施設,CC BY 2.1 JP,1341
宇都宮市食品営業許可施設一覧,CC BY 4.0,1120
松本市食品営業許可台帳,CC BY 3.0,618
鳥取市食品等営業許可・届出一覧,CC BY 2.1 JP,204
久万高原町 食品等営業許可・届出一覧,Creative Commons Attribution 4.0 International,179
和水町 和水町_食品等営業許可・届出一覧,Creative Commons Attribution 4.0 International,174
北九州市 北九州市　食品衛生法等許可施設一覧,CC BY 4.0,156
久留米市 久留米市新規食品営業許可施設一覧,CC BY 2.1 JP,92
那覇市 （継続）食品営業許可施設,Creative Commons Attribution 4.0 International,60
佐世保市 ［佐世保市］食品営業許可施設一覧,Creative Commons Attribution 4.0 International,29
