municipality_code,pref,city,display_comment,has_legend,has_specialty,has_notable_people,pin_join_key,display_comment_original,display_comment_enriched,samurai_priority_people,notable_people,honorary_citizens,tourism_landmarks,specialties,food_culture,historical_domains,heian_place_names,wikipedia_title,wikipedia_revision_id,wikidata_qid,wikipedia_url,japan_search_support,japan_search_query_url,enrichment_sources,enrichment_status,enrichment_errors
01101,北海道,札幌市中央区,札幌市中央区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場、史跡や遺跡に関わる場所が見え、第一小学校跡、開拓使札幌本庁本庁舎跡、資生館跡のような地点が探索の入口になる。 現地では史跡説明板を、既存ピンと照らして歩くと発見しやすい。,False,False,True,municipality_code,札幌市中央区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場、史跡や遺跡に関わる場所が見え、第一小学校跡、開拓使札幌本庁本庁舎跡、資生館跡のような地点が探索の入口になる。 現地では史跡説明板を、既存ピンと照らして歩くと発見しやすい。,札幌市中央区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 周辺には寺社や信仰の場、史跡や遺跡にまつわる場所が点在し、「第一小学校跡」、「開拓使札幌本庁本庁舎跡」、「資生館跡」などを起点に歩くと、地域の歴史がぐっと見えやすくなります。 現地では史跡説明板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。 ゆかりの人物では南部忠平や久保栄に注目すると、地域に残る文化や時代背景をさらに深く知るきっかけになります。 「アイヌのまるきぶね」や「旧札幌農学校演武場（札幌市時計台）」などの名所も、地域の物語を深掘りする絶好の入口です。,,南部忠平｜久保栄｜武林無想庵｜本郷新｜三岸好太郎,,アイヌのまるきぶね｜旧札幌農学校演武場（札幌市時計台）｜箱館奉行所文書｜八窓庵（旧舎那院忘筌）｜豊平館｜北海道大学農学部植物園・博物館｜北海道庁旧本庁舎｜開拓使文書,,,,,中央区 (札幌市),110623088,Q1079635,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%A4%AE%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29,,https://jpsearch.go.jp/csearch/jps-cross?csid=jps-cross&keyword=%E5%8D%97%E9%83%A8%E5%BF%A0%E5%B9%B3&keyword=%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%A4%AE%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29｜https://www.wikidata.org/wiki/Q539725｜https://www.wikidata.org/wiki/Q939797｜https://www.wikidata.org/wiki/Q11546036｜https://www.wikidata.org/wiki/Q11520880｜https://www.wikidata.org/wiki/Q11355202｜https://jpsearch.go.jp/csearch/jps-cross?csid=jps-cross&keyword=%E5%8D%97%E9%83%A8%E5%BF%A0%E5%B9%B3&keyword=%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,wikipedia_ok,
01102,北海道,札幌市北区,札幌市北区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には史跡や遺跡、寺社や信仰の場に関わる場所が見え、Ｋ三九遺跡、サクシュコトニ川遺跡、Ｋ四三五遺跡のような地点が探索の入口になる。 現地では史跡説明板が手がかりになりそうだ。さらに水辺の由緒を示す歴史案内板も見つかるかもしれない。,False,False,True,municipality_code,札幌市北区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には史跡や遺跡、寺社や信仰の場に関わる場所が見え、Ｋ三九遺跡、サクシュコトニ川遺跡、Ｋ四三五遺跡のような地点が探索の入口になる。 現地では史跡説明板が手がかりになりそうだ。さらに水辺の由緒を示す歴史案内板も見つかるかもしれない。,札幌市北区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 周辺には史跡や遺跡、寺社や信仰の場にまつわる場所が点在し、「Ｋ三九遺跡」、「サクシュコトニ川遺跡」、「Ｋ四三五遺跡」などを起点に歩くと、地域の歴史がぐっと見えやすくなります。 現地では史跡説明板が、地域の歴史を読み解く手がかりになるでしょう。 川沿いや水辺では、その土地の暮らしや水との関わりを伝える歴史案内板が見つかるかもしれません。 ゆかりの人物では大須賀応や琴の郷栄一に注目すると、地域に残る文化や時代背景をさらに深く知るきっかけになります。 「北海道大学農学部（旧東北帝国大学農科大学）」や「新琴似村屯田兵村記録」などの名所も、地域の物語を深掘りする絶好の入口です。,,大須賀応｜琴の郷栄一｜佐野正幸,,北海道大学農学部（旧東北帝国大学農科大学）第二農場 9棟｜有形文化財｜新琴似村屯田兵村記録｜新琴似屯田兵中隊本部｜清華亭｜北海道大学旧札幌農学校昆虫学及養蚕学教室｜北海道大学旧札幌農学校図書館読書室・書庫｜北海道大学古河記念講堂（旧東北帝国大学農科大学林学科教室）,,,,,北区 (札幌市),110623810,Q1134013,https://ja.wikipedia.org/wiki/%E5%8C%97%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29,,,https://ja.wikipedia.org/wiki/%E5%8C%97%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29｜https://www.wikidata.org/wiki/Q11441874｜https://www.wikidata.org/wiki/Q17221840｜https://www.wikidata.org/wiki/Q11385054,wikipedia_ok,
01103,北海道,札幌市東区,札幌市東区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場、史跡や遺跡に関わる場所が見え、札幌刑務所、サッポロビール旧製麦工場、諏訪神社のような地点が探索の入口になる。 現地では史跡説明板を、既存ピンと照らして歩くと発見しやすい。,False,False,True,municipality_code,札幌市東区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場、史跡や遺跡に関わる場所が見え、札幌刑務所、サッポロビール旧製麦工場、諏訪神社のような地点が探索の入口になる。 現地では史跡説明板を、既存ピンと照らして歩くと発見しやすい。,札幌市東区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 周辺には寺社や信仰の場、史跡や遺跡にまつわる場所が点在し、「札幌刑務所」、「サッポロビール旧製麦工場」、「諏訪神社」などを起点に歩くと、地域の歴史がぐっと見えやすくなります。 現地では史跡説明板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。 ゆかりの人物では岩田徳治や片岡球子に注目すると、地域に残る文化や時代背景をさらに深く知るきっかけになります。 「丘珠獅子舞」や「有形文化財および史跡」などの名所も、地域の物語を深掘りする絶好の入口です。,,岩田徳治｜片岡球子｜渡辺惣蔵,,無形文化財｜丘珠獅子舞｜有形文化財および史跡｜札幌村・大友亀太郎関係歴史資料及び史跡｜サッポロビール博物館（サッポロガーデンパーク内）｜北海道鉄道技術館（北海道旅客鉄道苗穂工場内）｜雪印メグミルク 酪農と乳の歴史館｜福山醸造 醤油蔵,,,,,東区 (札幌市),110629023,Q1134006,https://ja.wikipedia.org/wiki/%E6%9D%B1%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29,,,https://ja.wikipedia.org/wiki/%E6%9D%B1%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29｜https://www.wikidata.org/wiki/Q52319928｜https://www.wikidata.org/wiki/Q3193919｜https://www.wikidata.org/wiki/Q41695315,wikipedia_ok,
01104,北海道,札幌市白石区,札幌市白石区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場に関わる場所が見え、八幡神社、白石神社のような地点が探索の入口になる。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,False,False,True,municipality_code,札幌市白石区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場に関わる場所が見え、八幡神社、白石神社のような地点が探索の入口になる。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,札幌市白石区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 周辺には寺社や信仰の場にまつわる場所が点在し、「八幡神社」、「白石神社」などを起点に歩くと、地域の歴史がぐっと見えやすくなります。 現地では石碑、地蔵、地域資料館、公民館の由緒板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。 ゆかりの人物では森雅之や半澤洵に注目すると、地域に残る文化や時代背景をさらに深く知るきっかけになります。 「札幌恵庭自転車道線（白石こころーど）」や「白石郷土館（白石区複合庁舎内）」などの名所も、地域の物語を深掘りする絶好の入口です。,,森雅之｜半澤洵,,札幌恵庭自転車道線（白石こころーど）｜白石郷土館（白石区複合庁舎内）｜アサヒビール北海道工場｜サッポロ・イーワン・スタジアム｜川下公園｜白石区子どもワンダーランド（不定期）｜白石区子ども遊芽カーニバル,,,,,白石区,110631736,Q647388,https://ja.wikipedia.org/wiki/%E7%99%BD%E7%9F%B3%E5%8C%BA,,https://jpsearch.go.jp/csearch/jps-cross?csid=jps-cross&keyword=%E6%A3%AE%E9%9B%85%E4%B9%8B&keyword=%E6%9C%AD%E5%B9%8C%E5%B8%82%E7%99%BD%E7%9F%B3%E5%8C%BA,https://ja.wikipedia.org/wiki/%E7%99%BD%E7%9F%B3%E5%8C%BA｜https://www.wikidata.org/wiki/Q2590475｜https://www.wikidata.org/wiki/Q11407026｜https://jpsearch.go.jp/csearch/jps-cross?csid=jps-cross&keyword=%E6%A3%AE%E9%9B%85%E4%B9%8B&keyword=%E6%9C%AD%E5%B9%8C%E5%B8%82%E7%99%BD%E7%9F%B3%E5%8C%BA,wikipedia_ok,
01105,北海道,札幌市豊平区,札幌市豊平区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場、産業施設に関わる場所が見え、札幌ハリストス正教会、豊平神社、経王寺のような地点が探索の入口になる。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,False,False,False,municipality_code,札幌市豊平区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場、産業施設に関わる場所が見え、札幌ハリストス正教会、豊平神社、経王寺のような地点が探索の入口になる。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,札幌市豊平区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 周辺には寺社や信仰の場、産業施設にまつわる場所が点在し、「札幌ハリストス正教会」、「豊平神社」、「経王寺」などを起点に歩くと、地域の歴史がぐっと見えやすくなります。 現地では石碑、地蔵、地域資料館、公民館の由緒板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。,,,,,,,,,国道453号,109182462,Q6157589,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%81%93453%E5%8F%B7,,,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%81%93453%E5%8F%B7,wikipedia_ok,
01106,北海道,札幌市南区,札幌市南区には、地域の由緒を示す案内板や石碑を探す余地がある。 まずは自然と信仰を軸に、地区の由緒を拾える場所を探したい。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,False,False,True,municipality_code,札幌市南区には、地域の由緒を示す案内板や石碑を探す余地がある。 まずは自然と信仰を軸に、地区の由緒を拾える場所を探したい。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,札幌市南区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 まずは自然と信仰に目を向けると、地域の由緒をたどる手がかりが見つけやすいでしょう。 現地では石碑、地蔵、地域資料館、公民館の由緒板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。 ゆかりの人物では岩田聡や岩本政一に注目すると、地域に残る文化や時代背景をさらに深く知るきっかけになります。 「藻岩原始林」や「旧黒岩家住宅（旧簾舞通行屋）」などの名所も、地域の物語を深掘りする絶好の入口です。,,岩田聡｜岩本政一｜岩本政光｜町村敬貴,,藻岩原始林｜有形文化財｜旧黒岩家住宅（旧簾舞通行屋）｜エドウィン・ダン記念館（旧北海道庁真駒内種畜場事務所）｜藻岩山｜もいわ山ロープウェイ｜もいわ山展望台｜札幌市交通資料館,,,,,南区 (札幌市),110629752,Q1134027,https://ja.wikipedia.org/wiki/%E5%8D%97%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29,,https://jpsearch.go.jp/csearch/jps-cross?csid=jps-cross&keyword=%E5%B2%A9%E7%94%B0%E8%81%A1&keyword=%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8D%97%E5%8C%BA,https://ja.wikipedia.org/wiki/%E5%8D%97%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29｜https://www.wikidata.org/wiki/Q316013｜https://www.wikidata.org/wiki/Q11475105｜https://www.wikidata.org/wiki/Q11475107｜https://www.wikidata.org/wiki/Q11578249｜https://jpsearch.go.jp/csearch/jps-cross?csid=jps-cross&keyword=%E5%B2%A9%E7%94%B0%E8%81%A1&keyword=%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%8D%97%E5%8C%BA,wikipedia_ok,
01107,北海道,札幌市西区,札幌市西区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場に関わる場所が見え、浄恩寺、日登寺、発寒神社のような地点が探索の入口になる。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,False,False,True,municipality_code,札幌市西区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場に関わる場所が見え、浄恩寺、日登寺、発寒神社のような地点が探索の入口になる。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,札幌市西区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 周辺には寺社や信仰の場にまつわる場所が点在し、「浄恩寺」、「日登寺」、「発寒神社」などを起点に歩くと、地域の歴史がぐっと見えやすくなります。 現地では石碑、地蔵、地域資料館、公民館の由緒板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。 ゆかりの人物では安孫子孝次や稗田敏男に注目すると、地域に残る文化や時代背景をさらに深く知るきっかけになります。 「琴似屯田兵村兵屋跡」や「琴似屯田兵屋」などの名所も、地域の物語を深掘りする絶好の入口です。,,安孫子孝次｜稗田敏男,,史跡｜琴似屯田兵村兵屋跡｜有形文化財｜琴似屯田兵屋｜三角山｜五天山公園｜琴似屯田歴史館資料室｜農試公園,,,,,西区 (札幌市),110644760,Q1135640,https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29,,https://jpsearch.go.jp/csearch/jps-cross?csid=jps-cross&keyword=%E5%AE%89%E5%AD%AB%E5%AD%90%E5%AD%9D%E6%AC%A1&keyword=%E6%9C%AD%E5%B9%8C%E5%B8%82%E8%A5%BF%E5%8C%BA,https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%8C%BA_%28%E6%9C%AD%E5%B9%8C%E5%B8%82%29｜https://www.wikidata.org/wiki/Q24075916｜https://www.wikidata.org/wiki/Q20742307｜https://jpsearch.go.jp/csearch/jps-cross?csid=jps-cross&keyword=%E5%AE%89%E5%AD%AB%E5%AD%90%E5%AD%9D%E6%AC%A1&keyword=%E6%9C%AD%E5%B9%8C%E5%B8%82%E8%A5%BF%E5%8C%BA,wikipedia_ok,
01108,北海道,札幌市厚別区,札幌市厚別区には、地域の由緒を示す案内板や石碑を探す余地がある。 まずは社寺・石碑・案内板を軸に、地区の由緒を拾える場所を探したい。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,False,False,True,municipality_code,札幌市厚別区には、地域の由緒を示す案内板や石碑を探す余地がある。 まずは社寺・石碑・案内板を軸に、地区の由緒を拾える場所を探したい。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,札幌市厚別区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 まずは社寺・石碑・案内板に目を向けると、地域の由緒をたどる手がかりが見つけやすいでしょう。 現地では石碑、地蔵、地域資料館、公民館の由緒板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。 ゆかりの人物では菅原浩志に注目すると、地域に残る文化や時代背景をさらに深く知るきっかけになります。 「旧開拓使工業局庁舎」や「新札幌副都心」などの名所も、地域の物語を深掘りする絶好の入口です。,,菅原浩志,,旧開拓使工業局庁舎｜新札幌副都心｜札幌市青少年科学館｜サンピアザ水族館｜小野幌青少年キャンプ場｜道立自然公園野幌森林公園｜北海道博物館｜北海道開拓の村,,,,,厚別区,110630233,Q1134346,https://ja.wikipedia.org/wiki/%E5%8E%9A%E5%88%A5%E5%8C%BA,,,https://ja.wikipedia.org/wiki/%E5%8E%9A%E5%88%A5%E5%8C%BA｜https://www.wikidata.org/wiki/Q5771077,wikipedia_ok,
01109,北海道,札幌市手稲区,札幌市手稲区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場、史跡や遺跡に関わる場所が見え、手稲遺跡、札幌別院、手稲神社のような地点が探索の入口になる。 現地では史跡説明板を、既存ピンと照らして歩くと発見しやすい。,False,False,False,municipality_code,札幌市手稲区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場、史跡や遺跡に関わる場所が見え、手稲遺跡、札幌別院、手稲神社のような地点が探索の入口になる。 現地では史跡説明板を、既存ピンと照らして歩くと発見しやすい。,札幌市手稲区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 周辺には寺社や信仰の場、史跡や遺跡にまつわる場所が点在し、「手稲遺跡」、「札幌別院」、「手稲神社」などを起点に歩くと、地域の歴史がぐっと見えやすくなります。 現地では史跡説明板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。 「手稲山口バッタ塚」や「手稲山」などの名所も、地域の物語を深掘りする絶好の入口です。,,,,史跡｜手稲山口バッタ塚｜手稲山｜サッポロテイネ｜札幌テイネゴルフ倶楽部｜札幌市手稲青少年キャンプ場「カッコウの森」｜サッポロスターライトドーム｜前田森林公園,,,,,手稲区,110636222,Q1134339,https://ja.wikipedia.org/wiki/%E6%89%8B%E7%A8%B2%E5%8C%BA,,,https://ja.wikipedia.org/wiki/%E6%89%8B%E7%A8%B2%E5%8C%BA,wikipedia_ok,
01110,北海道,札幌市清田区,札幌市清田区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場に関わる場所が見え、大中山神社、専修寺北海道別院、永山神社のような地点が探索の入口になる。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,False,False,False,municipality_code,札幌市清田区には、地域の由緒を示す案内板や石碑を探す余地がある。 この地域には寺社や信仰の場に関わる場所が見え、大中山神社、専修寺北海道別院、永山神社のような地点が探索の入口になる。 現地では石碑、地蔵、地域資料館、公民館の由緒板を、既存ピンと照らして歩くと発見しやすい。,札幌市清田区には、地域の歴史や暮らしを伝える案内板や石碑があり、それらを手がかりに街歩きを楽しめます。 周辺には寺社や信仰の場にまつわる場所が点在し、「大中山神社」、「専修寺北海道別院」、「永山神社」などを起点に歩くと、地域の歴史がぐっと見えやすくなります。 現地では石碑、地蔵、地域資料館、公民館の由緒板を既存ピンと照らし合わせながら歩くと、見落としがちな地域の物語に出会いやすくなります。 「あしりべつ郷土館」や「平岡公園」などの名所も、地域の物語を深掘りする絶好の入口です。,,,,あしりべつ郷土館｜平岡公園｜平岡梅林｜平岡樹芸センター｜札幌ふれあいの森｜白旗山都市環境林｜有明の滝自然探勝の森｜札幌芙蓉カントリー倶楽部,,,,,清田区,110645365,Q1134019,https://ja.wikipedia.org/wiki/%E6%B8%85%E7%94%B0%E5%8C%BA,,,https://ja.wikipedia.org/wiki/%E6%B8%85%E7%94%B0%E5%8C%BA,wikipedia_ok,
